More...,Movement,,Ammo,,,,Damage,,Range,,Range of x hits to kill,,,,Range,,Range of x hits to kill,,,,Multipliers,,,,Fire Rate,,,,Reload,,,,,,,,,Switch,,,,,,Idle,,,,ADS,,,Hipspread,,,,,,Viewkick,,,,Centerspeed
,Standard,,Standard,,,,Standard,,Standard,,Standard,,,,Suppressor,,Suppressor,,,,,,Upper Torso,Lower Torso,Standard,,Rapid Fire,,,Start Add,Standard,,,,Quick,,,Standard,,Quick,,First Raise,Sprint Out,Standard,,,,,Standard,,Stand,,Crouch,,Prone,,Pitch,,Yaw,,
,Speed,ADS,Max,Start,Mag,Shot,Max,Min,Max,Min,2,3,4,5,Max,Min,2,3,4,5,Head,Neck,,,Time,RPM,Time,RPM,Start,,Full,Empty,Add,End,Full,Empty,Add,Drop,Raise,Drop,Raise,,,Amount,Speed,Crouch,Prone,Spread,Time,FOV,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Standard
,Assault Rifles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Assault Rifles have medium penetration, except the M14, which has high penetration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16,0.95,0.4,240,120,30,,40,30,2000,2500,,2300,∞,,800,1200,,1040,∞,,1.4,1,1,1,0.064,459,,,,,2.03,2.36,1.35,,1.6,2,0.9,0.45,0.75,0.25,0.75,1,0.3,2,0.8,1,0.4,0,0.25,50,3,7,2.5,6,2,5,-30,50,35,-35,1200
Enfield,0.95,0.4,240,120,30,,35,25,1500,2000,,1550,∞,,500,1000,,550,∞,,1.4,1,1,1,0.08,750,,,,,2.45,3,1.75,,1.6,2.2,1,0.6,0.85,0.25,0.5,1.3,0.3,2,0.8,1,0.4,0,0.2,50,3,7,2.5,6,2,5,-20,60,10,-60,1500
M14,0.95,0.4,160,80,20,,50,40,1500,2000,1500,∞,,,500,1000,500,∞,,,1.5,1.5,1,1,0.096,625,,,,,2.4,3.45,1.9,,,,,0.7,0.8,0.25,0.45,1.1,0.3,2,1.5,1,0.4,0,0.25,50,3,7,2.5,6,2,5,40,80,40,-40,1400
FAMAS,0.95,0.4,240,120,30,,35,25,1500,2000,,1550,∞,,500,1000,,550,∞,,1.4,1,1,1,0.064,937,,,,,2.5,3.3,1.9,,1.7,2.3,1.1,0.75,0.7,0.25,0.55,1.25,0.3,2,0.8,1,0.4,0,0.35,50,3,8,2.5,7,3,6,-25,60,30,-60,1500
Galil,0.95,0.4,280,140,35,,40,30,1500,2000,,1800,∞,,500,1000,,800,∞,,1.4,1,1,1,0.08,750,,,,,2.8,3.8,2.2,,1.6,2.55,0.9,0.6,0.9,0.25,0.65,0.75,0.3,2,0.8,1,0.4,0,0.25,50,3,7,2.5,6,2,5,-20,60,10,-60,1500
AUG,0.95,0.4,240,120,30,,35,25,1500,2000,,1550,∞,,500,1000,,550,∞,,1.4,1,1,1,0.064,937,,,,,2.6,3.05,1.9,,1.6,2,0.9,0.65,0.75,0.25,0.5,1.15,0.3,2,0.8,1,0.4,0,0.25,50,3,7,2.5,6,2,5,-30,60,60,-60,1500
